county,distNumber,distName,FIDESZ,MSZP,JOBBIK,LMP,DK,totalVotes,validVotes,invalidVotes,,invalid/total,fidesz/valid
Budapest,1,Budapest V. kerület,"20,031",0,"3,060","23,345",0,"48,626","47,910",716,,0.01472463291,0.4180964308
Budapest,2,Budapest XI. kerület,"23,403",0,"3,252","3,384",22494,"55,894","55,506",388,,0.006941711096,0.421630094
Budapest,3,Budapest XII. kerület,"23,173",0,"3,142","3,787","21,176","54,740","54,257",483,,0.008823529412,0.4270969644
Budapest,4,Budapest II. kerület,"24,208",0,"3,585","5,848","21,496","58,204","57,886",318,,0.005463542025,0.4182012922
Budapest,5,Budapest VII. kerület,"16,687",0,"3,171","3,055","20,598","45,341","44,925",416,,0.009174918948,0.371441291
Budapest,6,Budapest VIII. kerület,"18,818",0,"6,001","2,582","14,947","46,806","46,456",350,,0.007477673803,0.4050714655
Budapest,7,Budapest XIII. kerület,"16,854","33,412","3,591","2,447",0,"59,520","59,161",359,,0.006031586022,0.2848836227
Budapest,8,Budapest XIV. kerület,"20,588","27,736","4,492","2,410",0,"59,176","58,724",452,,0.007638231716,0.3505891969
Budapest,9,Budapest X. kerület,"21,222","22,010","5,437","3,522",0,"54,330","53,976",354,,0.006515737162,0.3931747443
Budapest,10,Budapest III. kerület,"20,403","27,017","6,070",0,0,"56,640","56,110",530,,0.009357344633,0.3636250223
Budapest,11,Budapest IV. kerület,"20,080",0,"5,826","3,459","23,238","57,401","56,956",445,,0.00775247818,0.3525528478
Budapest,12,Budapest XV. kerület,"20,622",0,"5,640","2,540","23,212","55,409","54,937",472,,0.008518471728,0.37537543
Budapest,13,Budapest XVI. kerület,"23,328",0,"5,086","4,048",0,"54,467","55,667",559,,0.01026309509,0.4190633589
Budapest,14,Budapest XVII. kerület,"23,784","21,512","7,536","2,826",0,"58,185","57,775",410,,0.007046489645,0.4116659455
Budapest,15,Budapest XVIII. kerület,"23,848","27,813","6,977",0,0,"60,636","60,072",564,,0.009301405106,0.3969902783
Budapest,16,Budapest XX. kerület,"19,462","22,572","6,373","2,287",0,"52,693","52,211",482,,0.009147325072,0.3727566988
Budapest,17,Budapest XXI. kerület,"20,653",0,"8,673",0,0,"56,611","55,681",930,,0.0164279027,0.3709164706
Budapest,18,Budapest XXII. kerület,"24,144","24,983","5,525","2,556",0,"60,713","60,276",437,,0.007197799483,0.4005574358
Bács-Kiskun,1,Kecskemét,"25,519",0,"11,231","4,642","3,595","47,325","46,798",527,,0.01113576334,0.5453010812
Bács-Kiskun,2,Kecskemét,"26,695","8,421","10,001","3,426",0,50973,50612,361,,0.007082180762,0.5274440844
Bács-Kiskun,3,Kalocsa,24519,5127,13915,1261,0,46455,46069,386,,0.008309116349,0.532223404
Bács-Kiskun,4,Kiskunfélegyháza,29025,5855,10166,1410,0,48634,48207,427,,0.008779865937,0.6020909826
Bács-Kiskun,5,Kiskunhalas,25535,0,15219,1059,2685,46327,45724,603,,0.01301616768,0.5584594524
Bács-Kiskun,6,Baja,23835,7880,8203,2557,0,44213,43777,436,,0.009861352996,0.5444639879
Baranya,1,Pécs,20702,0,7887,3059,0,56434,56003,431,,0.007637239962,0.3696587683
Baranya,2,Pécs,21471,0,11858,4899,11160,54020,53525,495,,0.009163272862,0.4011396544
Baranya,3,Mohács,27603,0,11359,3345,4262,48528,47903,625,,0.01287916255,0.5762269586
Baranya,4,Szigetvár,24479,13605,7914,1667,0,50763,50029,734,,0.01445935031,0.4892962082
Békés,1,Békéscsaba,22133,0,16366,2610,5461,50433,49511,922,,0.01828168065,0.4470319727
Békés,2,Békés,24247,0,13707,2550,4039,46510,45872,638,,0.01371748011,0.5285795256
Békés,3,Gyula,23135,8508,10612,1740,0,46510,45872,638,,0.01371748011,0.5043381584
Békés,4,Orosháza,21312,5107,19510,1081,0,50169,49395,774,,0.01542785385,0.4314606742
Borsod-Abaúj-Zemplén,1,Miskolc,20724,0,20597,1671,6151,53584,53195,389,,0.00725962974,0.3895854874
Borsod-Abaúj-Zemplén,2,Miskolc,19434,15274,14427,0,0,51549,51067,482,,0.009350326873,0.3805588736
Borsod-Abaúj-Zemplén,3,Ózd,20623,0,15744,1170,3441,43653,42875,778,,0.01782237189,0.4810029155
Borsod-Abaúj-Zemplén,4,Kazincbarcika,21905,8458,14779,1649,0,49772,48986,786,,0.01579201157,0.4471685788
Borsod-Abaúj-Zemplén,5,Sátoraljaújhely,23544,0,14064,6219,2306,48957,48024,933,,0.01905754029,0.4902548726
Borsod-Abaúj-Zemplén,6,Tiszaújváros,25662,7757,16469,1182,0,52817,52056,761,,0.01440823977,0.4929691102
Borsod-Abaúj-Zemplén,7,Mezőkövesd,28718,4390,16389,1771,0,52972,52417,555,,0.01047723326,0.5478756892
Csongrád,1,Szeged,21019,25748,6501,2560,0,59338,58960,378,,0.006370285483,0.3564959294
Csongrád,2,Szeged,27344,21711,6970,2512,0,61781,61280,501,,0.008109289264,0.4462140992
Csongrád,3,Szentes,27322,0,20802,1548,2671,56013,55068,945,,0.0168710835,0.4961502143
Csongrád,4,Hódmezővásárhely,29534,4234,20940,1003,0,57501,57039,562,,0.009773743065,0.5177860762
Fejér,1,Székesfehérvár,22433,0,6599,2868,14740,47960,47562,398,,0.008298582152,0.4716580463
Fejér,2,Székesfehérvár,27250,4761,14652,2173,0,51170,50752,418,,0.008168848935,0.5369246532
Fejér,3,Bicske,28415,8041,12559,2732,0,53988,53642,346,,0.006408831592,0.5297155214
Fejér,4,Dunaújváros,18541,0,20405,1638,4668,47279,46871,408,,0.008629624146,0.3955750891
Fejér,5,Sárbogárd,23982,0,13777,1219,2518,43393,42851,542,,0.01249049386,0.559660218
Gyor-Moson-Sopron,1,Győr,24193,0,8448,3118,10561,49261,48827,434,,0.008810214977,0.495484056
Gyor-Moson-Sopron,2,Győr,30138,6891,11046,2480,0,52791,52291,500,,0.009471311398,0.576351571
Gyor-Moson-Sopron,3,Csorna,31148,0,11575,2100,2998,49157,48744,413,,0.00840165185,0.639011981
Gyor-Moson-Sopron,4,Sopron,30936,9558,10301,2545,0,57240,56825,415,,0.007250174703,0.544408271
Gyor-Moson-Sopron,5,Mosonmagyaróvár,29033,5246,13823,2771,0,53590,52930,660,,0.01231573055,0.5485169091
Hajdú-Bihar,1,Debrecen,23441,13648,7531,2597,0,49935,49498,437,,0.00875137679,0.4735746899
Hajdú-Bihar,2,Debrecen,24731,0,12723,2992,6002,50489,50067,442,,0.008754382143,0.4939580962
Hajdú-Bihar,3,Debrecen,27979,0,12249,1942,3654,48869,48109,760,,0.01555178129,0.581575173
Hajdú-Bihar,4,Berettyóújfalu,23630,4210,12938,1125,0,43355,42891,464,,0.01070234114,0.5509314308
Hajdú-Bihar,5,Hajdúszoboszló,23444,5111,13542,1571,0,46042,45450,592,,0.01285782546,0.515819582
Hajdú-Bihar,6,Hajdúböszörmény,21843,7914,12227,1333,0,45456,44656,800,,0.01759943682,0.4891391974
Heves,1,Eger,27374,0,23115,1914,3987,59502,58944,558,,0.009377836039,0.4644068947
Heves,2,Gyöngyös,25729,4632,23379,1260,0,56567,55747,820,,0.01449608429,0.4615315622
Heves,3,Hatvan,27726,4755,19219,1703,0,55203,54632,571,,0.01034364074,0.5075047591
Jász-Nagykun-Szolnok,1,Szolnok,23665,8520,19746,2028,0,56637,56227,410,,0.007239083991,0.4208832056
Jász-Nagykun-Szolnok,2,Jászberény,24549,0,16057,2035,3893,48560,47935,625,,0.01287067545,0.5121310107
Jász-Nagykun-Szolnok,3,Karcag,27086,0,16128,1685,2663,49906,48991,915,,0.0183344688,0.5528770591
Jász-Nagykun-Szolnok,4,Törökszentmiklós,21668,4668,19760,1119,0,49303,48459,844,,0.01711863375,0.447140882
Komárom-Esztergom,1,Tatabánya,25128,15192,11071,2440,0,56897,56551,346,,0.006081164209,0.4443422751
Komárom-Esztergom,2,Esztergom,26137,0,19834,2657,6474,58239,57813,426,,0.007314686035,0.4520955494
Komárom-Esztergom,3,Komárom,29241,7127,15258,2827,0,57815,57348,467,,0.008077488541,0.5098870056
Nógrád,1,Salgótarján,24611,0,11553,8478,4636,52660,51991,669,,0.01270413976,0.473370391
Nógrád,2,Balassagyarmat,29754,6776,15062,2095,0,55436,54834,602,,0.01085936936,0.5426195426
Pest,1,Érd,26987,21888,8014,2264,0,62119,61702,417,,0.006712921972,0.4373764222
Pest,2,Budakeszi,30990,0,5923,30694,0,70861,70211,650,,0.009172887766,0.4413838287
Pest,3,Szentendre,30711,0,11624,4706,12852,67149,66603,546,,0.008131170978,0.4611053556
Pest,4,Vác,27559,0,12824,10131,0,54259,53608,651,,0.01199800955,0.5140837188
Pest,5,Dunakeszi,30535,0,10900,0,25574,71423,70561,862,,0.01206894138,0.4327461346
Pest,6,Gödöllő,29588,4776,12343,14763,0,65186,64428,758,,0.01162826374,0.4592413236
Pest,7,Vecsés,27485,0,18114,3538,8744,62175,61321,854,,0.01373542421,0.4482151302
Pest,8,Szigetszentmiklós,25272,19188,12758,3016,0,63144,62659,485,,0.007680856455,0.4033259388
Pest,9,Nagykáta,24051,3426,16017,1409,0,48623,47863,760,,0.01563046295,0.5024967094
Pest,10,Monor,25989,7065,12944,1666,0,49818,49395,423,,0.008490906901,0.5261463711
Pest,11,Dabas,29780,7157,17231,3300,0,59052,58464,588,,0.009957325747,0.5093732895
Pest,12,Cegléd,24826,0,16145,1961,3372,48864,48076,788,,0.01612639162,0.5163907147
Somogy,1,Kaposvár,19466,0,14206,2057,5700,45013,44550,463,,0.0102859174,0.4369472503
Somogy,2,Barcs,20217,0,14951,787,2340,39756,39156,600,,0.01509206158,0.516319338
Somogy,3,Marcali,21892,3029,15695,835,0,42868,42219,649,,0.01513949799,0.5185343092
Somogy,4,Siófok,22920,11221,8635,918,0,45220,44846,374,,0.008270676692,0.5110823708
Szabolcs-Szatmár-Bereg,1,Nyíregyháza,21779,17725,10372,1792,0,54526,53989,537,,0.009848512636,0.4033969883
Szabolcs-Szatmár-Bereg,2,Nyíregyháza,22395,0,16393,1303,4909,47471,46768,703,,0.01480904131,0.4788530619
Szabolcs-Szatmár-Bereg,3,Kisvárda,32374,0,14513,1239,2512,53021,52325,696,,0.01312687426,0.6187099857
Szabolcs-Szatmár-Bereg,4,Vásárosnamény,29865,4229,13641,461,0,50910,49987,923,,0.01813003339,0.5974553384
Szabolcs-Szatmár-Bereg,5,Mátészalka,28294,0,15897,864,2032,49490,48326,1164,,0.02351990301,0.5854819352
Szabolcs-Szatmár-Bereg,6,Nyírbátor,26994,9302,9696,691,0,48659,47757,902,,0.01853716681,0.5652365098
Tolna,1,Szekszárd,21477,0,3899,14896,0,42272,41653,619,,0.01464326268,0.5156171224
Tolna,2,Dombóvár,23910,0,10127,1966,3468,41328,40905,423,,0.01023519164,0.5845251192
Tolna,3,Paks,23605,4806,9900,1259,0,41216,40854,362,,0.008782996894,0.5777892006
Vas,1,Szombathely,26086,15950,6576,1854,0,52759,52254,505,,0.009571826608,0.4992153711
Vas,2,Sárvár,31226,7110,9278,1826,0,51216,50876,340,,0.006638550453,0.6137668056
Vas,3,Körmend,30970,0,13072,1526,2093,49372,48760,612,,0.01239568986,0.6351517637
Veszprém,1,Veszprém,25920,0,7054,1811,0,53523,53165,358,,0.006688713263,0.4875387943
Veszprém,2,Balatonfüred,26280,0,17735,0,5473,52692,51910,782,,0.01484096257,0.5062608361
Veszprém,3,Tapolca,22838,3992,19748,1107,0,48998,48685,313,,0.006388015837,0.4690972579
Veszprém,4,Pápa,28557,6519,11914,1063,0,49394,48948,446,,0.009029436774,0.5834150527
Zala,1,Zalaegerszeg,30433,8895,12616,2918,0,58085,57636,449,,0.007730050788,0.5280206815
Zala,2,Keszthely,28617,0,14595,2115,4245,51963,51555,408,,0.007851740662,0.5550771021
Zala,3,Nagykanizsa,25161,0,17840,1863,5136,52056,51567,489,,0.009393729829,0.4879283263